data1,data2,label
0,0,0
564,1356,0
1856,1572,0
904,156,0
0,0,0
0,0,0
604,1356,0
1860,1212,0
544,120,0
0,0,0
0,0,0
208,1720,0
1460,1972,0
864,196,0
0,0,0
0,0,0
604,1360,0
2220,1576,0
1300,0,0
0,0,0
0,0,0
248,1324,0
2184,1932,0
1296,192,0
0,0,0
0,0,0
0,1324,0
1784,2292,0
1256,588,0
124,0,0
0,0,0
288,964,0
2188,1896,0
1296,548,0
0,0,0
0,0,0
0,1324,0
1788,1932,0
1256,552,0
0,0,0
0,0,0
0,964,0
1784,2256,0
1616,584,0
160,0,0
0,0,0
0,604,0
1356,1860,0
852,184,0
84,0,0
952,0,0
0,0,0
0,0,0
604,2148,0
1500,1652,0
508,164,0
0,0,0
0,0,0
208,1756,0
1460,1612,0
864,160,0
0,0,0
0,0,0
1000,1756,0
1900,1252,0
908,124,0
0,0,0
0,0,0
244,1360,0
1824,1576,0
900,156,0
0,0,0
0,0,0
244,1360,0
1824,1216,0
1260,0,0
0,0,0
0,0,0
248,1356,0
1824,1212,0
900,0,0
0,0,0
0,0,0
248,1360,0
1824,1936,0
1260,912,0
0,0,0
0,0,0
248,1364,0
2184,1936,0
1656,192,0
164,0,0
0,0,0
0,604,0
1756,1500,0
1612,148,0
520,0,0
0,0,0
292,964,0
1828,1536,0
1260,152,0
864,0,0
0,0,0
0,0,0
1324,1356,0
1572,852,0
876,0,0
0,0,0
0,0,0
1004,1752,0
1540,1612,0
872,160,0
0,0,0
0,0,0
1004,1360,0
1900,1216,0
908,0,0
0,0,0
0,0,0
1328,1356,0
1572,1212,0
876,0,0
0,0,0
0,0,0
244,1360,0
2184,1576,0
1296,156,0
0,0,0
0,0,0
608,1360,0
1860,1576,0
904,156,0
88,0,0
0,0,0
612,1720,0
1860,2332,0
904,952,0
0,0,0
0,0,0
208,1364,0
1820,1936,0
1260,192,0
0,0,0
0,0,0
244,1320,0
1824,2292,0
1260,588,0
484,0,0
0,0,0
292,604,0
1828,1500,0
1620,148,0
1268,0,0
0,0,0
0,0,0
604,1356,0
1500,1572,0
868,156,0
0,0,0
0,0,0
644,1756,0
2224,1612,0
1660,160,0
0,0,0
0,0,0
608,1360,0
1860,1576,0
1264,0,0
124,0,0
0,0,0
252,1360,0
1824,1216,0
1260,120,0
0,0,0
0,0,0
0,1720,0
1788,1972,0
896,556,0
0,0,0
0,0,0
564,1720,0
2216,1972,0
1300,556,0
0,0,0
0,0,0
0,964,0
1424,1896,0
860,548,0
0,0,0
0,0,0
0,604,0
1380,1500,0
1216,148,0
120,0,0
0,0,0
288,564,0
2188,1856,0
2016,544,0
560,0,0
0,0,0
